Dataset,Transform,Sample_Index,Sample_ID,Actual_Stiffness,Original_Ensemble_Prediction,Transformed_Ensemble_Prediction,Signed_Prediction_Change,Absolute_Prediction_Change,Relative_Prediction_Change_Percent,Original_Member_Std,Transformed_Member_Std,Original_Absolute_Error,Transformed_Absolute_Error,Numerically_Unchanged_At_1e_8
Test,mirror_y,11,randomness_0.3774,0.034980010241270065,0.03397245183587074,0.03413422629237175,0.00016177445650100708,0.00016177445650100708,0.47619305572226345,0.0007347644872700862,0.0004363201525250432,0.001007558405399324,0.0008457839488983168,False
Test,mirror_y,12,randomness_0.6687,0.01660303585231304,0.021212150156497956,0.020915767922997475,-0.00029638223350048065,0.00029638223350048065,1.3972286228121449,0.0005889595048764632,0.0007388454218141569,0.004609114304184914,0.004312732070684434,False
Test,mirror_y,13,randomness_0.5896,0.025645151734352112,0.024923408403992653,0.023964283615350725,-0.0009591247886419282,0.0009591247886419282,3.848289018480632,0.0007911659528872577,0.0006080091245198203,0.0007217433303594589,0.0016808681190013872,False
Test,mirror_y,14,randomness_0.3554,0.03571183979511261,0.03606520816683769,0.03622494637966156,0.00015973821282386919,0.00015973821282386919,0.44291498910784055,0.0008034981800248337,0.0008583551154667543,0.000353368371725081,0.0005131065845489502,False
Test,mirror_y,15,randomness_0.2593,0.034776538610458374,0.03688777014613152,0.03681657612323761,-7.119402289390564e-05,7.119402289390564e-05,0.19300169842706494,0.0004954891017095303,0.0004337285842369933,0.002111231535673143,0.0020400375127792372,False
Test,mirror_y,16,randomness_0.6176,0.025575056672096252,0.019655602425336836,0.01976778469979763,0.00011218227446079324,0.00011218227446079324,0.5707394361832733,0.0008669856672082005,0.0004869166311701408,0.005919454246759416,0.005807271972298623,False
Test,mirror_y,17,randomness_0.9780,3.279328893768252e-06,0.002765930094756186,0.0028299179393798113,6.39878446236251e-05,6.39878446236251e-05,2.313429567324823,0.0009333868112379688,0.0005407050994659278,0.002762650765862418,0.002826638610486043,False
Test,mirror_y,18,randomness_0.2753,0.03773081675171852,0.03786808028817177,0.038162970542907716,0.00029489025473594666,0.00029489025473594666,0.778730404319061,0.0001852412980594714,0.00023597636080549488,0.00013726353645324846,0.0004321537911891951,False
Test,mirror_y,19,randomness_0.0701,0.03618176653981209,0.03643096312880516,0.036414938420057295,-1.6024708747862382e-05,1.6024708747862382e-05,0.04398650864981387,0.00037331388063519845,0.0003064082438618759,0.00024919658899306973,0.00023317188024520735,False
Test,mirror_y,20,randomness_0.2372,0.04343936964869499,0.041466948390007016,0.04114035815000534,-0.0003265902400016729,0.0003265902400016729,0.787591690929388,0.00048558523235834857,0.0003456471879865226,0.001972421258687976,0.0022990114986896487,False
Test,mirror_y,21,randomness_0.2803,0.034028586000204086,0.034195809811353686,0.034699013084173204,0.0005032032728195177,0.0005032032728195177,1.4715348915423088,0.00047886358609213544,0.0006200272727743588,0.00016722381114959994,0.0006704270839691176,False
Test,mirror_y,22,randomness_0.8228,0.001965631963685155,0.0053432976827025415,0.005277982167899609,-6.531551480293274e-05,6.531551480293274e-05,1.2223821071091319,0.0006835280984216794,0.0007767581297545798,0.0033776657190173866,0.003312350204214454,False
Test,mirror_y,23,randomness_0.2182,0.03561365231871605,0.03455611541867256,0.03417990356683731,-0.00037621185183524947,0.00037621185183524947,1.0886983310397256,0.0004943971106844354,0.0005198754692481268,0.001057536900043489,0.0014337487518787384,False
Test,mirror_y,24,randomness_0.6927,0.02150697261095047,0.01978771686553955,0.019203635305166243,-0.000584081560373307,0.000584081560373307,2.951738011728322,0.0005758228064852214,0.0003230252530966023,0.0017192557454109199,0.002303337305784227,False
Test,mirror_y,25,randomness_0.2963,0.0379083976149559,0.038877101987600325,0.03848553523421287,-0.00039156675338745256,0.00039156675338745256,1.0071912086254293,0.0004720838161628573,0.00035531688180001484,0.000968704372644423,0.0005771376192569705,False
Test,mirror_y,26,randomness_0.3183,0.032574255019426346,0.03256628736853599,0.03293937221169472,0.0003730848431587261,0.0003730848431587261,1.1456167506498853,0.000379162271765732,0.00021363560723823728,7.967650890353117e-06,0.00036511719226837297,False
Test,mirror_y,27,randomness_0.8669,0.000550733064301312,0.003543578088283539,0.002527468302287161,-0.0010161097859963776,0.0010161097859963776,28.6746830655725,0.0004992933162762454,0.0007235144450952798,0.002992845023982227,0.001976735237985849,False
