Dataset,Feature,Feature_Bin,Count,Feature_Min,Feature_Max,MAE,RMSE,Bias,Mean_Ensemble_Std
Test,Mean_Degree,2,97,4.266666889190674,4.545454502105713,0.002913273523863925,0.003548040645051603,-0.00015178006089271347,0.0004626963460789954
Test,Mean_Degree,3,108,4.561983585357666,4.809917449951172,0.0022447264357309737,0.0027932152986687264,-8.417208086768915e-05,0.0004046452057027421
Test,Mean_Degree,4,114,4.826446056365967,4.909090995788574,0.0019900645887781306,0.0024988737139307205,-0.0001521869854827661,0.00039805143682861957
Test,Mean_Degree,5,76,4.925619602203369,5.057851314544678,0.0017152995010654404,0.0021349807572833006,0.00034740888911928694,0.0003902404239356242
Test,Std_Degree,1,101,1.147339940071106,1.2735320329666138,0.002130133748194078,0.0026080599414402355,0.00031562683345567487,0.0004065692840527774
Test,Std_Degree,2,99,1.2738001346588135,1.321642518043518,0.002145263911229722,0.002625601080407032,0.000335865006901378,0.00044699694632861087
Test,Std_Degree,3,100,1.3216538429260254,1.3542124032974243,0.0021279439893372837,0.002658507883228474,0.00023633193477177927,0.0004228806133000461
Test,Std_Degree,4,100,1.3545149564743042,1.3972563743591309,0.0025464961844808504,0.003235690670212148,0.0001267170806033516,0.0004283727658542811
Test,Std_Degree,5,100,1.3975176811218262,1.6235830783843994,0.0026270388771066217,0.003239980402689339,-0.00038499483493465683,0.00050459723595286
Test,Mean_Weighted_Degree,1,105,3.8016529083251953,4.264462947845459,0.0026230897980608924,0.003163745561878906,0.0007399414792245729,0.000545541838890028
