Sample_ID,Randomness_Value,Actual_Stiffness,Node_Count,Edge_Count,Graph_Density,Total_Edge_Weight,Mean_Edge_Weight,Std_Edge_Weight,Mean_Degree,Std_Degree,Mean_Weighted_Degree,Std_Weighted_Degree,Mean_Center_Distance,Std_Center_Distance
randomness_0.0631,0.0631,0.0343242887407541,121.0,294.0,0.04049586776859504,294.0,1.0,0.0,4.859504222869873,1.3130356073379517,4.859504222869873,1.3130356073379517,136.03851318359375,50.76212692260742
randomness_0.0641,0.0641,0.0424685828387737,121.0,300.0,0.04132231404958678,300.0,1.0,0.0,4.958677768707275,1.3810805082321167,4.958677768707275,1.3810805082321167,135.91734313964844,50.886070251464844
randomness_0.0651,0.0651,0.0318736631423235,121.0,291.0,0.04008264462809917,291.0,1.0,0.0,4.809917449951172,1.3745864629745483,4.809917449951172,1.3745864629745483,136.0303192138672,50.76274490356445
randomness_0.0661,0.0661,0.0420046001672745,121.0,302.0,0.04159779614325069,302.0,1.0,0.0,4.991735458374023,1.2694495916366577,4.991735458374023,1.2694495916366577,136.07814025878906,50.785484313964844
randomness_0.0671,0.0671,0.0400081768631935,121.0,299.0,0.04118457300275482,299.0,1.0,0.0,4.942148685455322,1.3804868459701538,4.942148685455322,1.3804868459701538,135.86746215820312,50.86079406738281
randomness_0.0681,0.0681,0.0428333535790443,121.0,301.0,0.04146005509641873,301.0,1.0,0.0,4.97520637512207,1.3573358058929443,4.97520637512207,1.3573358058929443,135.90525817871094,50.798011779785156
randomness_0.0691,0.0691,0.0349673595279455,121.0,293.0,0.04035812672176309,293.0,1.0,0.0,4.84297513961792,1.3727470636367798,4.84297513961792,1.3727470636367798,135.91616821289062,50.93027877807617
randomness_0.0701,0.0701,0.0361817667260766,121.0,295.0,0.040633608815427,295.0,1.0,0.0,4.876032829284668,1.2568506002426147,4.876032829284668,1.2568506002426147,135.95892333984375,50.87993240356445
randomness_0.0711,0.0711,0.0358967121690512,121.0,294.0,0.04049586776859504,294.0,1.0,0.0,4.859504222869873,1.3563792705535889,4.859504222869873,1.3563792705535889,136.0137481689453,50.78333282470703
randomness_0.0721,0.0721,0.0372795432806015,121.0,298.0,0.04104683195592287,298.0,1.0,0.0,4.925619602203369,1.2802716493606567,4.925619602203369,1.2802716493606567,135.95758056640625,50.818058013916016
randomness_0.0731,0.0731,0.036315917596221,121.0,294.0,0.04049586776859504,294.0,1.0,0.0,4.859504222869873,1.43915593624115,4.859504222869873,1.43915593624115,135.9382781982422,50.832462310791016
randomness_0.0741,0.0741,0.0370866969227791,121.0,295.0,0.040633608815427,295.0,1.0,0.0,4.876032829284668,1.2436299324035645,4.876032829284668,1.2436299324035645,136.0890655517578,50.86722183227539
randomness_0.0751,0.0751,0.0353228740394115,121.0,290.0,0.03994490358126722,290.0,1.0,0.0,4.793388366699219,1.4369237422943115,4.793388366699219,1.4369237422943115,136.07760620117188,50.83740997314453
randomness_0.0761,0.0761,0.0356661971658468,121.0,289.0,0.03980716253443526,289.0,1.0,0.0,4.776859283447266,1.32045316696167,4.776859283447266,1.32045316696167,135.9201202392578,50.93757247924805
randomness_0.0771,0.0771,0.0378903474658728,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.3545149564743042,4.909090995788574,1.3545149564743042,136.008056640625,50.66902160644531
randomness_0.0781,0.0781,0.0350526504218578,121.0,296.0,0.04077134986225895,296.0,1.0,0.0,4.892561912536621,1.4759877920150757,4.892561912536621,1.4759877920150757,135.91664123535156,50.795143127441406
randomness_0.0791,0.0791,0.0408696711063385,121.0,302.0,0.04159779614325069,302.0,1.0,0.0,4.991735458374023,1.2364697456359863,4.991735458374023,1.2364697456359863,136.03231811523438,50.83719253540039
randomness_0.0801,0.0801,0.0368950605392456,121.0,296.0,0.04077134986225895,296.0,1.0,0.0,4.892561912536621,1.309858798980713,4.892561912536621,1.309858798980713,136.05352783203125,50.851173400878906
randomness_0.0811,0.0811,0.0360118340700865,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.2464827299118042,4.909090995788574,1.2464827299118042,135.98043823242188,50.77906799316406
randomness_0.0821,0.0821,0.0360031485557556,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.3236563205718994,4.909090995788574,1.3236563205718994,136.07057189941406,50.7434196472168
randomness_0.0831,0.0831,0.0381616029888392,121.0,295.0,0.040633608815427,295.0,1.0,0.0,4.876032829284668,1.3880852460861206,4.876032829284668,1.3880852460861206,136.02630615234375,50.990821838378906
randomness_0.0841,0.0841,0.0366937089711428,121.0,289.0,0.03980716253443526,289.0,1.0,0.0,4.776859283447266,1.3513848781585693,4.776859283447266,1.3513848781585693,136.08058166503906,50.802345275878906
randomness_0.0851,0.0851,0.0343593172729015,121.0,298.0,0.04104683195592287,298.0,1.0,0.0,4.925619602203369,1.260757327079773,4.925619602203369,1.260757327079773,135.9265899658203,50.88056564331055
randomness_0.0861,0.0861,0.0385365009307861,121.0,298.0,0.04104683195592287,298.0,1.0,0.0,4.925619602203369,1.2738001346588135,4.925619602203369,1.2738001346588135,135.83807373046875,50.868682861328125
randomness_0.0871,0.0871,0.0381259419023991,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.3606027364730835,4.909090995788574,1.3606027364730835,136.012939453125,50.9398193359375
randomness_0.0881,0.0881,0.0394090674817562,121.0,298.0,0.04104683195592287,298.0,1.0,0.0,4.925619602203369,1.3555231094360352,4.925619602203369,1.3555231094360352,135.95108032226562,50.803558349609375
randomness_0.0891,0.0891,0.0329950571060181,121.0,296.0,0.04077134986225895,296.0,1.0,0.0,4.892561912536621,1.3410348892211914,4.892561912536621,1.3410348892211914,135.97378540039062,50.753421783447266
randomness_0.0901,0.0901,0.0432870648801327,121.0,302.0,0.04159779614325069,302.0,1.0,0.0,4.991735458374023,1.2025859355926514,4.991735458374023,1.2025859355926514,135.93702697753906,50.89385223388672
randomness_0.0911,0.0911,0.0398575376719236,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.2984415292739868,4.909090995788574,1.2984415292739868,136.0077362060547,50.763675689697266
randomness_0.0921,0.0921,0.0277100998364858,121.0,291.0,0.04008264462809917,291.0,1.0,0.0,4.809917449951172,1.3503230810165405,4.809917449951172,1.3503230810165405,135.91317749023438,50.9116096496582
randomness_0.0931,0.0931,0.0336260215379298,121.0,291.0,0.04008264462809917,291.0,1.0,0.0,4.809917449951172,1.2682651281356812,4.809917449951172,1.2682651281356812,136.00393676757812,50.90559005737305
randomness_0.0941,0.0941,0.0386629350483417,121.0,300.0,0.04132231404958678,300.0,1.0,0.0,4.958677768707275,1.3261308670043945,4.958677768707275,1.3261308670043945,135.9093780517578,50.92047119140625
randomness_0.0951,0.0951,0.0391530055552721,121.0,298.0,0.04104683195592287,298.0,1.0,0.0,4.925619602203369,1.3309121131896973,4.925619602203369,1.3309121131896973,135.98780822753906,50.80635070800781
