Dataset,Sample_ID,Split_Count,Mean_Predicted_Stiffness,Std_Predicted_Across_Splits,Mean_Residual,Mean_Absolute_Error,Max_Absolute_Error,Mean_Ensemble_Std,Randomness_Value,Actual_Stiffness,Node_Count,Edge_Count,Graph_Density,Total_Edge_Weight,Mean_Edge_Weight,Std_Edge_Weight,Mean_Degree,Std_Degree,Mean_Weighted_Degree,Std_Weighted_Degree,Mean_Center_Distance,Std_Center_Distance
Test,randomness_0.9209,1,0.008953726291656494,,-0.0025281077154335058,0.0025281077154335058,0.0025281077154335058,0.0005098868290198557,0.9209,0.01148183400709,119.0,245.0,0.03489531405782652,245.0,1.0,0.0,4.117647171020508,1.5072736740112305,4.117647171020508,1.5072736740112305,134.6962127685547,50.149803161621094
Test,randomness_0.6226,1,0.020519191399216652,,0.0025153899565339526,0.0025153899565339526,0.0025153899565339526,0.00019663873364623955,0.6226,0.0180038014426827,121.0,272.0,0.03746556473829201,272.0,1.0,0.0,4.495867729187012,1.2735320329666138,4.495867729187012,1.2735320329666138,135.5817413330078,51.68164825439453
Test,randomness_0.6887,1,0.009300926141440869,,0.0024901289702251687,0.0024901289702251687,0.0024901289702251687,0.00013799213242044622,0.6887,0.0068107971712157,121.0,255.0,0.03512396694214876,255.0,1.0,0.0,4.214876174926758,1.2675648927688599,4.214876174926758,1.2675648927688599,136.23426818847656,50.580894470214844
Test,randomness_0.8148,1,0.01223588977009058,,-0.002489178254807621,0.002489178254807621,0.002489178254807621,0.00033272115814413246,0.8148,0.0147250680248982,120.0,254.0,0.03557422969187675,254.0,1.0,0.0,4.233333110809326,1.4302291870117188,4.233333110809326,1.4302291870117188,134.91587829589844,51.298828125
Test,randomness_0.4154,1,0.03479739874601364,,-0.0024834495037794613,0.0024834495037794613,0.0024834495037794613,8.999702400821703e-05,0.4154,0.0372808482497931,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.2727272510528564,4.909090995788574,1.2727272510528564,136.829833984375,50.83790969848633
Test,randomness_0.5546,1,0.024124438315629958,,-0.002471194103410141,0.002471194103410141,0.002471194103410141,0.00024855022244527606,0.5546,0.0265956324190401,121.0,278.0,0.03829201101928375,278.0,1.0,0.0,4.595041275024414,1.4234082698822021,4.595041275024414,1.4234082698822021,136.1606903076172,50.86583709716797
Test,randomness_0.3123,2,0.03467518053948879,0.0001871493929633768,-0.0024687405675650094,0.0024687405675650094,0.002601075172424361,0.0004796310918101335,0.3123,0.0371439211070538,121.0,293.0,0.04035812672176309,293.0,1.0,0.0,4.84297513961792,1.3423075675964355,4.84297513961792,1.3423075675964355,136.6254425048828,50.73371505737305
Test,randomness_0.5025,2,0.026884954050183298,0.0005570327696730209,0.0024663021788000946,0.0024663021788000946,0.002860183827579011,0.00046952703819665983,0.5025,0.0244186518713832,121.0,284.0,0.03911845730027548,284.0,1.0,0.0,4.694214820861816,1.3412894010543823,4.694214820861816,1.3412894010543823,135.3557891845703,51.10648727416992
Test,randomness_0.9590,1,0.002581462566740811,,0.002452096975109611,0.002452096975109611,0.002452096975109611,0.000551492847787471,0.959,0.0001293655916312,119.0,238.0,0.03389830508474576,238.0,1.0,0.0,4.0,1.3841843605041504,4.0,1.3841843605041504,135.4522247314453,52.488800048828125
Test,randomness_0.3984,1,0.03565960824489593,,0.0024508590195447336,0.0024508590195447336,0.0024508590195447336,0.00033665642792557855,0.3984,0.0332087492253512,121.0,296.0,0.04077134986225895,296.0,1.0,0.0,4.892561912536621,1.3471835851669312,4.892561912536621,1.3471835851669312,135.9162139892578,50.88785934448242
Test,randomness_0.5996,1,0.021034184470772745,,0.0024461514782160437,0.0024461514782160437,0.0024461514782160437,8.779556437126123e-05,0.5996,0.0185880329925567,121.0,276.0,0.03801652892561983,276.0,1.0,0.0,4.561983585357666,1.3354206085205078,4.561983585357666,1.3354206085205078,136.62669372558594,51.01924133300781
Test,randomness_0.2583,1,0.039538346230983734,,-0.0024420276284217654,0.0024420276284217654,0.0024420276284217654,0.00032687834652051363,0.2583,0.0419803738594055,121.0,302.0,0.04159779614325069,302.0,1.0,0.0,4.991735458374023,1.3391491174697876,4.991735458374023,1.3391491174697876,136.00518798828125,50.84481430053711
Test,randomness_0.4304,1,0.03370903432369232,,-0.0024292297661304765,0.0024292297661304765,0.0024292297661304765,0.00022630475437050514,0.4304,0.0361382640898228,121.0,295.0,0.040633608815427,295.0,1.0,0.0,4.876032829284668,1.3272119760513306,4.876032829284668,1.3272119760513306,135.88902282714844,51.40854263305664
Test,randomness_0.5816,1,0.023938989639282225,,0.002396737205410924,0.002396737205410924,0.002396737205410924,0.00043632992487924643,0.5816,0.0215422524338713,121.0,280.0,0.03856749311294766,280.0,1.0,0.0,4.628098964691162,1.220569133758545,4.628098964691162,1.220569133758545,136.11090087890625,51.659423828125
Test,randomness_0.7427,2,0.014008112344890833,0.00022351119138944978,-0.0023951468628647683,0.0023951468628647683,0.0025531931419673325,0.0003194229349180193,0.7427,0.0164032592077556,121.0,264.0,0.03636363636363636,264.0,1.0,0.0,4.363636493682861,1.2662172317504883,4.363636493682861,1.2662172317504883,137.27005004882812,51.168697357177734
Test,randomness_0.4034,1,0.036782631278038026,,-0.0023926335207662755,0.0023926335207662755,0.0023926335207662755,0.0002831706713488557,0.4034,0.0391752647988043,121.0,301.0,0.04146005509641873,301.0,1.0,0.0,4.97520637512207,1.2561440467834473,4.97520637512207,1.2561440467834473,136.5354461669922,50.11245346069336
Test,randomness_0.9229,1,0.007584418542683125,,0.002387756777752625,0.002387756777752625,0.002387756777752625,0.0003274437181327153,0.9229,0.0051966617649305,121.0,250.0,0.03443526170798898,250.0,1.0,0.0,4.13223123550415,1.4138754606246948,4.13223123550415,1.4138754606246948,136.1348114013672,50.83046340942383
Test,randomness_0.3574,1,0.03691181689500809,,0.0023835100233554896,0.0023835100233554896,0.0023835100233554896,0.00019380616264311936,0.3574,0.0345283068716526,121.0,298.0,0.04104683195592287,298.0,1.0,0.0,4.925619602203369,1.3616063594818115,4.925619602203369,1.3616063594818115,136.0204620361328,50.76689529418945
Test,randomness_0.3433,1,0.030377283692359924,,0.0023830335587263253,0.0023830335587263253,0.0023830335587263253,0.00034431172548173483,0.3433,0.0279942501336336,121.0,285.0,0.03925619834710744,285.0,1.0,0.0,4.7107439041137695,1.3075623512268066,4.7107439041137695,1.3075623512268066,136.59483337402344,50.54265213012695
Test,randomness_0.0571,1,0.036603114753961566,,-0.002382270246744131,0.002382270246744131,0.002382270246744131,0.0003683181433951281,0.0571,0.0389853850007057,121.0,295.0,0.040633608815427,295.0,1.0,0.0,4.876032829284668,1.2568504810333252,4.876032829284668,1.2568504810333252,136.03590393066406,50.83940124511719
Test,randomness_0.3524,1,0.0303683303296566,,0.002362609282136,0.002362609282136,0.002362609282136,0.0003480980308764699,0.3524,0.0280057210475206,121.0,288.0,0.03966942148760331,288.0,1.0,0.0,4.760330677032471,1.2793644666671753,4.760330677032471,1.2793644666671753,135.8939208984375,50.71220016479492
Test,randomness_0.8709,2,0.007564672222360969,0.00015505134095424532,0.0023619423547643686,0.0023619423547643686,0.002471580209385183,0.0006046600473984529,0.8709,0.0052027298675966,120.0,243.0,0.03403361344537815,243.0,1.0,0.0,4.050000190734863,1.3156113624572754,4.050000190734863,1.3156113624572754,135.86038208007812,51.844932556152344
Test,randomness_0.6987,1,0.012933339178562164,,-0.002360970247536936,0.002360970247536936,0.002360970247536936,0.0007544118597563895,0.6987,0.0152943094260991,120.0,256.0,0.035854341736694675,256.0,1.0,0.0,4.266666889190674,1.269733190536499,4.266666889190674,1.269733190536499,135.5586700439453,50.46467971801758
Test,randomness_0.7528,2,0.015603301394730807,0.00023675820929422732,0.0023560658998005067,0.0023560658998005067,0.0025234792350940383,0.0005065449339515083,0.7528,0.0132472354949303,121.0,263.0,0.03622589531680441,263.0,1.0,0.0,4.347107410430908,1.352748990058899,4.347107410430908,1.352748990058899,136.30088806152344,51.08711242675781
Test,randomness_0.2242,2,0.03839754275977612,0.0001465577631625382,0.0023458722978830157,0.0023458722978830157,0.0024495042860507785,0.0003253437347436459,0.2242,0.0360516704618931,121.0,301.0,0.04146005509641873,301.0,1.0,0.0,4.97520637512207,1.2362487316131592,4.97520637512207,1.2362487316131592,135.99269104003906,51.073143005371094
Test,randomness_0.1211,2,0.03971858620643616,3.784260160671898e-05,0.0023149121552705626,0.0023149121552705626,0.0023416709154844145,0.00037589644229819104,0.1211,0.0374036740511656,121.0,302.0,0.04159779614325069,302.0,1.0,0.0,4.991735458374023,1.2297676801681519,4.991735458374023,1.2297676801681519,136.037109375,50.81403350830078
Test,randomness_0.4084,1,0.031278033182024954,,-0.0022928666323423427,0.0022928666323423427,0.0022928666323423427,0.0004174611821902289,0.4084,0.0335708998143673,121.0,291.0,0.04008264462809917,291.0,1.0,0.0,4.809917449951172,1.3067784309387207,4.809917449951172,1.3067784309387207,136.2718505859375,50.86166763305664
Test,randomness_0.6346,1,0.020022478327155112,,0.002280407875063912,0.002280407875063912,0.002280407875063912,0.00038461294610580324,0.6346,0.0177420704520912,121.0,271.0,0.03732782369146005,271.0,1.0,0.0,4.479338645935059,1.2798447608947754,4.479338645935059,1.2798447608947754,138.13037109375,50.41254806518555
Test,randomness_0.3463,1,0.0310570165514946,,0.002273511141538599,0.002273511141538599,0.002273511141538599,0.000923117761859294,0.3463,0.028783505409956,121.0,285.0,0.03925619834710744,285.0,1.0,0.0,4.7107439041137695,1.338791847229004,4.7107439041137695,1.338791847229004,136.18589782714844,51.33002853393555
Test,randomness_0.0310,1,0.03743628859519958,,-0.0022489819675684183,0.0022489819675684183,0.0022489819675684183,0.0002404643795092569,0.031,0.039685270562768,121.0,296.0,0.04077134986225895,296.0,1.0,0.0,4.892561912536621,1.3161530494689941,4.892561912536621,1.3161530494689941,135.98358154296875,50.81941223144531
Test,randomness_0.0080,1,0.035326959937810896,,0.002241600677370996,0.002241600677370996,0.002241600677370996,0.0004569189522142812,0.008,0.0330853592604399,121.0,291.0,0.04008264462809917,291.0,1.0,0.0,4.809917449951172,1.3503230810165405,4.809917449951172,1.3503230810165405,135.9744110107422,50.843204498291016
Test,randomness_0.2022,1,0.037270727753639224,,-0.0022375531494617726,0.0022375531494617726,0.0022375531494617726,0.00039577524659780973,0.2022,0.039508280903101,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.3545149564743042,4.909090995788574,1.3545149564743042,136.30296325683594,50.69550323486328
Test,randomness_0.0911,1,0.03762502893805504,,-0.0022325087338685573,0.0022325087338685573,0.0022325087338685573,0.0003269778092856312,0.0911,0.0398575376719236,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.2984415292739868,4.909090995788574,1.2984415292739868,136.0077362060547,50.763675689697266
Test,randomness_0.3894,1,0.03023376241326332,,-0.0021716009825467793,0.0021716009825467793,0.0021716009825467793,0.00023769368997223224,0.3894,0.0324053633958101,121.0,286.0,0.03939393939393939,286.0,1.0,0.0,4.7272725105285645,1.4083575010299683,4.7272725105285645,1.4083575010299683,136.3699951171875,50.7353630065918
