Dataset,Sample_ID,Control_Absolute_Error,Adapted_Absolute_Error,Absolute_Error_Reduction,Adapted_Improved
Train,randomness_0.5375,0.0060893986,0.00547703,0.0006123688,True
Train,randomness_0.9530,0.0021264236,0.0017369501,0.0003894735,True
Train,randomness_0.4645,0.005061595,0.0056460574,-0.00058446266,False
Train,randomness_0.3223,0.00023792684,0.00020644441,3.148243e-05,True
Train,randomness_0.0921,0.007047655,0.0066827033,0.0003649518,True
Train,randomness_0.9670,0.0010921358,0.0018818731,-0.0007897373,False
Train,randomness_0.4745,0.0025499333,0.0016835183,0.000866415,True
Train,randomness_0.5696,0.00018347986,0.00060900487,-0.000425525,False
Train,randomness_0.9690,0.0018107537,0.0027221572,-0.00091140345,False
Train,randomness_0.8649,0.0029304884,0.003328314,-0.0003978256,False
Train,randomness_0.7568,0.004443504,0.005419025,-0.0009755213,False
Train,randomness_0.2843,0.0023936778,0.0026387088,-0.00024503097,False
Train,randomness_0.8669,0.001347173,0.0019243861,-0.0005772131,False
Train,randomness_0.9259,0.0018950051,0.0023221916,-0.0004271865,False
Train,randomness_0.6036,0.0052408595,0.004557576,0.00068328343,True
Train,randomness_0.9710,0.0016636276,0.00249063,-0.00082700234,False
Train,randomness_0.9650,0.0030326582,0.0037211017,-0.0006884434,False
Train,randomness_0.6797,0.004053411,0.004606545,-0.0005531339,False
Train,randomness_0.9700,0.0029249566,0.0035463034,-0.00062134676,False
Train,randomness_0.2513,0.0012247898,0.0008965209,0.00032826886,True
Train,randomness_0.7357,0.00048624724,0.00098571,-0.0004994627,False
Train,randomness_0.2402,0.0013618991,0.0014164597,-5.45606e-05,False
Train,randomness_0.7167,0.0045090998,0.003953466,0.00055563357,True
Train,randomness_0.7347,0.000481423,0.0013335822,-0.0008521592,False
Train,randomness_0.7808,0.00042163488,0.00026490074,0.00015673414,True
Train,randomness_0.1872,0.0001408346,8.184463e-06,0.00013265014,True
Train,randomness_0.3183,0.000835035,0.0013127886,-0.00047775358,False
Train,randomness_0.7227,0.0029663472,0.0036026845,-0.0006363373,False
Train,randomness_0.1782,0.0028646588,0.002900876,-3.6217272e-05,False
Train,randomness_0.5215,0.0014191996,0.0018098298,-0.00039063022,False
Train,randomness_0.5195,0.003039442,0.0021505468,0.00088889524,True
Train,randomness_0.6867,0.0008465182,0.0002638474,0.0005826708,True
Train,randomness_0.1962,0.002608113,0.0025496893,5.8423728e-05,True
Train,randomness_0.1191,0.0017436333,0.0016121343,0.00013149902,True
Train,randomness_0.2392,0.0031657442,0.0030121394,0.0001536049,True
Train,randomness_0.5035,0.00027485006,0.0008555949,-0.0005807448,False
Train,randomness_0.9479,0.006729273,0.0059689316,0.0007603415,True
Train,randomness_0.2983,0.0012683757,0.0010936148,0.00017476082,True
Train,randomness_0.8589,0.004540447,0.0035843477,0.0009560995,True
Train,randomness_0.9540,0.0029151365,0.003394125,-0.0004789885,False
Train,randomness_0.0250,0.000108495355,0.00034457073,-0.00023607537,False
Train,randomness_0.8599,0.0006744433,0.0011399093,-0.00046546594,False
Train,randomness_0.0911,0.0023612007,0.0027092732,-0.0003480725,False
Train,randomness_0.5526,0.00016823597,0.00074930675,-0.0005810708,False
Train,randomness_0.3493,0.0024357177,0.002101276,0.00033444166,True
